Samples,Latitude DD,Longitude DD,clr.EM1,clr.EM2,clr.EM3,clr.EM4,RM,EM/RM,EL,EM/EL,O,Clay,Silt,Sand
CL11,21.46428333,87.07217222,-2.180838227,-0.57701735,0.889621667,1.86823391,25,75,,,,0.11,16.07,83.82
CL13,21.46285556,87.06977222,-0.145033568,-0.259229054,1.740732319,-1.336469697,,80,,20,,4.01,47.46,48.53
CL14,21.46213056,87.06856944,0.041323913,-0.329522083,1.589840565,-1.301642395,,80,,20,,5.18,47.23,47.59
CL15,21.46141111,87.06735,0.137839948,-0.920761981,2.209116682,-1.426194648,,85,,15,,4.41,43.41,52.18
CL16,21.46070833,87.06616667,0.721950917,0.731053596,-1.054947132,-0.398057381,,80,,15,5,13.05,65.34,21.62
CL17,21.46004444,87.06506667,-2.261524098,1.457249533,1.382328809,-0.578054243,10,85,,5,,2.12,67.63,30.25
CL18,21.45941389,87.06398611,-0.46391426,1.714993324,1.029647922,-2.280726987,,80,,15,5,4.3,77.03,18.67
CL19,21.45869722,87.06276667,-3.563152345,1.856493887,2.147521206,-0.440862748,10,80,,10,,1.63,64.81,33.56
CL110,21.45800278,87.06164167,-1.754413083,-0.06810661,2.070701305,-0.248181612,,90,,10,,1.88,46.81,51.3
CL111,21.45724722,87.06021667,-1.881619467,0.247075421,2.108727422,-0.474183376,,85,,15,,1.87,49.67,48.46
CL21,21.46468611,87.07192778,-2.34036555,2.261082723,1.182316311,-1.103033484,25,75,,,,2.76,82.18,15.06
CL22,21.46388333,87.07062778,0.878801569,2.408618217,-0.693256548,-2.594163238,,65,,35,,8.29,85.4,6.31
CL23,21.46324722,87.06951111,0.598546168,2.292730086,-0.64771801,-2.243558245,,80,,20,,7.6,85.66,6.74
CL24,21.46254722,87.06833056,0.673974188,2.160752002,-1.237740925,-1.596985266,,60,,20,20,8.73,84.14,7.13
CL25,21.46181944,87.06710833,-0.173639219,2.302356649,-0.127237793,-2.001479637,,55,,25,20,5.6,87.36,7.04
CL26,21.46105,87.06581111,0.025668207,1.173008198,-0.973229143,-0.225447262,,70,,15,15,7.16,70.77,22.07
CL27,21.46048611,87.06480278,0.732521214,1.498925163,-1.757299328,-0.474147049,,70,,25,5,9.98,75.38,14.65
CL28,21.45988889,87.06376667,0.775563117,1.78752826,-1.681819934,-0.881271443,,70,,15,15,8.58,80.32,11.1
CL29,21.45915,87.06254167,1.244533534,2.215588611,-2.395647228,-1.064474917,,65,,35,,9.2,80.08,10.72
CL210,21.45840278,87.06129444,-0.53237716,1.38127096,-0.051085623,-0.797808177,,75,,25,,4.12,76.47,19.41
CL211,21.45760833,87.05999722,-1.600629828,1.381308647,2.112474493,-1.893153312,,65,,35,,3.44,63.21,33.35
CL31,21.46509167,87.07164167,-0.632837803,0.128535452,1.118058268,-0.613755917,,75,,25,,4.31,51.6,44.08
CL32,21.46430556,87.07039167,0.84991876,0.923586222,-0.383402642,-1.390102341,,30,,50,20,14.51,70.76,14.73
CL33,21.46362222,87.06928056,0.716283659,1.117772083,-0.21022897,-1.623826772,,5,5,65,25,9.63,74.9,15.46
CL34,21.46294444,87.06813333,0.165238935,0.418700842,0.170461072,-0.754400849,,,,65,35,8.36,62.03,29.61
CL35,21.46219167,87.066875,0.507570614,1.055670676,-0.021465261,-1.541776029,,,,65,35,11.54,71.66,16.8
CL36,21.46140278,87.06559722,0.470564343,1.019054122,-0.152127325,-1.33749114,,,,60,40,17.74,67.71,14.55
CL37,21.46083889,87.06459167,0.298786962,1.228360175,-0.046312727,-1.480834409,,,,75,25,15.34,71.06,13.6
CL38,21.46021111,87.06360833,0.024009411,1.272716718,0.25104158,-1.547767709,,,,70,30,12.11,72.4,15.49
CL39,21.45948611,87.06237222,0.3700618,1.241995101,0.16097181,-1.77302871,,,,60,40,15.95,70.34,13.7
CL310,21.45871667,87.06110833,-0.060838521,0.710896857,0.321943969,-0.972002304,,,,65,35,11.96,63.02,25.02
CL311,21.457975,87.05985278,-1.338204213,1.189590945,0.065838922,0.082774347,,,5,80,15,3.27,66.53,30.2
,,,,,,,,,10,70,20,,,
